Course ID,Course Name,Department,Credit Hours,Type
A I 388,Natural Language Processing,A I,3,In-Residence
A I 388J,Optimization,A I,3,In-Residence
A I 388K,Online Learning and Optimization,A I,3,In-Residence
A I 388U,"Planning, Search, and Reasoning Under Uncertainty",A I,3,In-Residence
A I 389L,Automated Logical Reasoning,A I,3,In-Residence
A I 391L,Machine Learning,A I,3,In-Residence
A I 394D,Deep Learning,A I,3,In-Residence
A I 394R,Reinforcement Learning: Theory and Practice,A I,3,In-Residence
A I 395T,Topics in Artificial Intelligence,A I,3,In-Residence
AAR 380,Topics in Applied Archaeology,AAR,3,In-Residence
AAS 301,Introduction to Asian American Studies,AAS,3,In-Residence
AAS 302,Immigration and Ethnicity,AAS,3,In-Residence
AAS 310,Introductory Topics in Asian American Studies,AAS,3,In-Residence
AAS 312,Introduction to Asian American History,AAS,3,In-Residence
AAS 314,Asian American Literature and Culture,AAS,3,In-Residence
AAS 316D,"Race, Deportation, and Diaspora",AAS,3,In-Residence
AAS 318Q,Supervised Research,AAS,3,In-Residence
AAS 320C,Contemporary Asian American Novels,AAS,3,In-Residence
AAS 320D,Asian American Media Cultures,AAS,3,In-Residence
AAS 320F,Documenting Difference,AAS,3,In-Residence
AAS 320G,"Race, Internet, and Social Media",AAS,3,In-Residence
AAS 320J,"Japanese Popular Culture: Anime, Manga, and the Otaku",AAS,3,In-Residence
AAS 320K,Theorizing the Human,AAS,3,In-Residence
AAS 325C,The Chinese in Diaspora,AAS,3,In-Residence
AAS 325D,The Chinese in the United States,AAS,3,In-Residence
AAS 325E,"Taiwan: Colonization, Migration, and Identity",AAS,3,In-Residence
AAS 325F,The Two Koreas and the United States,AAS,3,In-Residence
AAS 325G,History of the Southeast Asian Diaspora in the United States,AAS,3,In-Residence
AAS 325J,South Asian Migration to the United States,AAS,3,In-Residence
AAS 325K,Refugees in Twentieth-Century United States,AAS,3,In-Residence
AAS 325L,Global Economies: Asia and the United States,AAS,3,In-Residence
AAS 325M,Political Economy of Development in Postwar Korea,AAS,3,In-Residence
AAS 325N,Asian American Jurisprudence,AAS,3,In-Residence
AAS 325O,Greater China and United States Economic Relations,AAS,3,In-Residence
AAS 330C,Racism and Antiracism,AAS,3,In-Residence
AAS 330D,Blacks and Asians: Race and Social Movements,AAS,3,In-Residence
AAS 330E,The Sociology of Race and Work,AAS,3,In-Residence
AAS 330F,Transnational Korea,AAS,3,In-Residence
AAS 330G,Urban Unrest,AAS,3,In-Residence
AAS 330I,Asian Diaspora on Indigenous Lands,AAS,3,In-Residence
AAS 330J,Asian Mobilities,AAS,3,In-Residence
AAS 330K,Asian Americans in the South,AAS,3,In-Residence
AAS 330L,Anthropology of the Himalayas,AAS,3,In-Residence
AAS 330M,Reproductive Justice and Race,AAS,3,In-Residence
